width,height,aspect_ratio,sharpness,brightness,contrast,noise,intensity_std,unique_intensity_values,filename,label
267,300,0.89,3790.65,96.1,80.37,15.34,80.37,255,001_Faces_easy_image_0016_clean.jpg,ACCEPTABLE
267,300,0.89,3880.01,98.09,82.33,15.57,82.33,255,001_Faces_easy_image_0016_mild_brightness.jpg,ACCEPTABLE
300,249,1.2048,725.29,185.0,58.94,8.4,58.94,253,002_crayfish_image_0058_clean.jpg,ACCEPTABLE
300,249,1.2048,596.49,167.15,53.45,7.63,53.45,232,002_crayfish_image_0058_mild_brightness.jpg,ACCEPTABLE
300,256,1.1719,2945.71,197.59,89.79,13.62,89.79,256,003_ant_image_0006_clean.jpg,ACCEPTABLE
300,256,1.1719,3049.39,200.92,90.06,13.89,90.06,256,003_ant_image_0006_mild_brightness.jpg,ACCEPTABLE
199,300,0.6633,957.12,109.39,25.8,9.06,25.8,238,004_scissors_image_0015_clean.jpg,ACCEPTABLE
199,300,0.6633,828.46,100.13,23.82,8.41,23.82,222,004_scissors_image_0015_mild_brightness.jpg,ACCEPTABLE
225,300,0.75,707.25,92.83,76.68,7.93,76.68,256,005_water_lilly_image_0008_clean.jpg,ACCEPTABLE
225,300,0.75,793.74,99.16,81.91,8.41,81.91,256,005_water_lilly_image_0008_mild_brightness.jpg,ACCEPTABLE
188,300,0.6267,3491.87,124.3,87.78,14.26,87.78,249,006_metronome_image_0005_clean.jpg,ACCEPTABLE
188,300,0.6267,3296.51,118.07,83.68,13.76,83.68,240,006_metronome_image_0005_mild_brightness.jpg,ACCEPTABLE
204,300,0.68,4040.48,206.34,58.81,17.38,58.81,252,007_windsor_chair_image_0009_clean.jpg,ACCEPTABLE
204,300,0.68,4060.59,207.11,59.12,17.44,59.12,252,007_windsor_chair_image_0009_mild_brightness.jpg,ACCEPTABLE
300,195,1.5385,5074.01,89.19,36.22,16.42,36.22,253,008_crocodile_image_0017_clean.jpg,ACCEPTABLE
300,195,1.5385,4745.88,83.85,34.38,15.73,34.38,243,008_crocodile_image_0017_mild_brightness.jpg,ACCEPTABLE
300,271,1.107,1797.65,152.01,75.03,11.58,75.03,255,009_laptop_image_0027_clean.jpg,ACCEPTABLE
300,271,1.107,1583.09,140.74,69.71,10.82,69.71,240,009_laptop_image_0027_mild_brightness.jpg,ACCEPTABLE
300,210,1.4286,13923.71,49.15,44.61,25.67,44.61,244,010_mandolin_image_0025_clean.jpg,ACCEPTABLE
300,210,1.4286,13923.71,49.15,44.61,25.67,44.61,244,010_mandolin_image_0025_mild_brightness.jpg,ACCEPTABLE
277,300,0.9233,780.9,94.23,75.32,8.37,75.32,255,011_lamp_image_0034_clean.jpg,ACCEPTABLE
277,300,0.9233,784.5,94.47,75.69,8.39,75.69,256,011_lamp_image_0034_mild_brightness.jpg,ACCEPTABLE
291,300,0.97,167.31,195.19,52.09,3.99,52.09,217,012_soccer_ball_image_0056_clean.jpg,ACCEPTABLE
291,300,0.97,164.6,192.18,51.4,3.95,51.4,215,012_soccer_ball_image_0056_mild_brightness.jpg,ACCEPTABLE
205,300,0.6833,7810.12,95.23,54.63,18.05,54.63,255,013_panda_image_0030_clean.jpg,ACCEPTABLE
205,300,0.6833,7926.87,96.83,55.77,18.27,55.77,255,013_panda_image_0030_mild_brightness.jpg,ACCEPTABLE
280,300,0.9333,2409.29,41.61,47.56,13.07,47.56,256,014_barrel_image_0009_clean.jpg,ACCEPTABLE
280,300,0.9333,2719.48,44.39,50.85,13.92,50.85,256,014_barrel_image_0009_mild_brightness.jpg,ACCEPTABLE
292,300,0.9733,3045.93,109.79,53.68,15.0,53.68,256,015_sunflower_image_0033_clean.jpg,ACCEPTABLE
292,300,0.9733,3248.62,115.05,56.31,15.54,56.31,256,015_sunflower_image_0033_mild_brightness.jpg,ACCEPTABLE
300,225,1.3333,329.24,58.83,31.08,5.57,31.08,232,016_pizza_image_0009_clean.jpg,ACCEPTABLE
300,225,1.3333,354.41,60.77,32.36,5.78,32.36,239,016_pizza_image_0009_mild_brightness.jpg,ACCEPTABLE
300,188,1.5957,328.25,210.93,55.35,5.69,55.35,197,017_scorpion_image_0044_clean.jpg,ACCEPTABLE
300,188,1.5957,331.72,212.52,55.93,5.73,55.93,198,017_scorpion_image_0044_mild_brightness.jpg,ACCEPTABLE
300,232,1.2931,1428.03,209.69,64.3,10.18,64.3,256,018_tick_image_0005_clean.jpg,ACCEPTABLE
300,232,1.2931,1343.01,199.98,61.53,9.82,61.53,249,018_tick_image_0005_mild_brightness.jpg,ACCEPTABLE
300,253,1.1858,91.27,207.47,83.21,3.13,83.21,256,019_butterfly_image_0009_clean.jpg,ACCEPTABLE
300,253,1.1858,78.59,190.22,76.47,2.9,76.47,242,019_butterfly_image_0009_mild_brightness.jpg,ACCEPTABLE
219,300,0.73,13862.58,105.47,47.94,23.39,47.94,256,020_flamingo_image_0044_clean.jpg,ACCEPTABLE
219,300,0.73,14406.26,109.73,49.71,23.97,49.71,256,020_flamingo_image_0044_mild_brightness.jpg,ACCEPTABLE
260,300,0.8667,1614.36,209.47,70.42,10.97,70.42,254,021_saxophone_image_0011_clean.jpg,ACCEPTABLE
260,300,0.8667,1741.81,214.0,70.09,11.41,70.09,254,021_saxophone_image_0011_mild_brightness.jpg,ACCEPTABLE
300,225,1.3333,2409.69,128.51,71.4,12.15,71.4,247,022_electric_guitar_image_0052_clean.jpg,ACCEPTABLE
300,225,1.3333,2402.27,127.53,71.36,12.13,71.36,245,022_electric_guitar_image_0052_mild_brightness.jpg,ACCEPTABLE
192,128,1.5,3449.82,99.69,49.98,15.5,49.98,250,023_Leopards_image_0041_clean.jpg,ACCEPTABLE
192,128,1.5,3584.19,102.41,51.37,15.87,51.37,251,023_Leopards_image_0041_mild_brightness.jpg,ACCEPTABLE
